#,designator,Qty,Value,Footprint,DNP,LCSC
1,"D301, D302, D303, D304",4,SMF24CA,Diode_SMD:D_SOD-123F,,C19077515
2,"D305, D306, D307, D308",4,BAT54C,Package_TO_SOT_SMD:SOT-23,,C37704
3,"J201, J202, J203, J204, J205, J206, J207, J208, J209, J210, J211, J212, J213, J214, J215, J216, J217, J218, J219, J220, J301, J302, J303, J304, J305, J306, J307, J308, J309, J310, J311, J312, J313, J314, J315, J316",36,Conn_01x01_PAD,PCB_Library:Conn_pin_PLC,,
4,"J221, J222, J223, J225, J319, J320",6,DB128L-5.08-2P-BK-S,PCB_Library:1729128,,C430601
5,"J224, J318",2, DB128L-5.08-2P-BK-S,PCB_Library:1729128,,C430601
6,"J226, J321",2,B04B-XASK-1,PCB_Library:CONN_B04B-XASK-1_JST,,C264994
7,J317,1,DB128L-5.08-3P-BK-S,PCB_Library:XY128V-A-5.08-3P,,C430602
8,"JP301, JP302, JP303",3,SolderJumper_2_Open_PCB,PCB_Library:SolderJumper-2_P2.6mm_Open_RoundedPad2.0x3mm,,
9,"R201, R202",2,360R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,C58649
10,"R203, R204",2,475R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,C138206
